Modell;Ausstattungslinie;Motor;Kategorie;Kraftstoff;l/100km;kWh/100km;Preis
Passat;Business;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.0;0.0;51335.00
Passat;Business;2.0 TDI | 90 kW | 7-Gang-DSG;Verbrenner;Diesel;4.9;0.0;49515.00
Passat;Elegance;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.3;13.1;62985.00
Passat;Elegance;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.3;13.1;66605.00
Passat;Elegance;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.0;0.0;56325.00
Passat;Elegance;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;5.7;0.0;61405.00
Passat;R-Line;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.5;13.3;68245.00
Passat;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.2;0.0;57375.00
Passat;R-Line;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;5.8;0.0;62460.00
Passat;R-Line;2.0 TSI | 4MOTION | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;8.0;0.0;64540.00
Polo;Energy;1.0 TSI | 70 kW | 5-Gang;Verbrenner;Benzin;5.1;0.0;26500.00
Polo;Energy;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.4;0.0;29930.00
Polo;R-Line;1.0 TSI | 70 kW | 5-Gang;Verbrenner;Benzin;5.3;0.0;28480.00
Polo;R-Line;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0;31910.00
T-Cross;Energy;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.5;0.0;30250.00
T-Cross;Energy;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.8;0.0;32240.00
T-Cross;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;34615.00
T-Cross;Life;1.0 TSI | 70 kW | 5-Gang;Verbrenner;Benzin;5.5;0.0;27065.00
T-Cross;Life;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.6;0.0;28835.00
T-Cross;Life;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0;30825.00
T-Cross;Life;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;33200.00
T-Cross;R-Line;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.7;0.0;32930.00
T-Cross;R-Line;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;34905.00
T-Cross;R-Line;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.0;0.0;37285.00
T-Cross;Style;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.7;0.0;31550.00
T-Cross;Style;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;33550.00
T-Cross;Style;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0;35935.00
T-Roc;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0;36755.00
T-Roc;Life;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0;34005.00
T-Roc;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0;42460.00
T-Roc;Style;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0;41260.00
T-Roc;Style;1.5 eTSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.6;0.0;38510.00
T-Roc Cabriolet;Energy;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;6.0;0.0;38700.00
T-Roc Cabriolet;Energy;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.3;0.0;41590.00
T-Roc Cabriolet;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0;43840.00
T-Roc Cabriolet;R-Line;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.2;0.0;42730.00
T-Roc Cabriolet;R-Line;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0;44980.00
T-Roc Cabriolet;Style;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;6.0;0.0;37560.00
T-Roc Cabriolet;Style;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.3;0.0;40450.00
T-Roc Cabriolet;Style;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0;42700.00
Taigo;Energy;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.4;0.0;30190.00
Taigo;Energy;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.5;0.0;32175.00
Taigo;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0;34565.00
Taigo;Life;1.0 TSI | 70 kW | 5-Gang;Verbrenner;Benzin;5.4;0.0;26770.00
Taigo;Life;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.4;0.0;28525.00
Taigo;Life;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.6;0.0;30510.00
Taigo;R-Line;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.6;0.0;32720.00
Taigo;R-Line;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0;34715.00
Taigo;R-Line;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;37105.00
Taigo;Style;1.0 TSI | 85 kW | 6-Gang;Verbrenner;Benzin;5.6;0.0;31720.00
